detuning,normalized_shg_proxy_Q_20,normalized_shg_proxy_Q_50,normalized_shg_proxy_Q_100,normalized_shg_proxy_Q_200
-0.08,0.007915950994453585,0.0002368080757925078,1.5171422332638185e-05,9.596590397851858e-07
-0.07967935871743487,0.008032611304684767,0.00024058324491056475,1.5416140878195963e-05,9.75184415864496e-07
-0.07935871743486975,0.008151385399040565,0.00024443370125032843,1.5665809609227037e-05,9.910249644589937e-07
-0.07903807615230461,0.008272318416007474,0.0002483612478253303,1.592054907464637e-05,1.0071883930563501e-06
-0.07871743486973948,0.00839545659622882,0.00025236773805797805,1.6180483259420434e-05,1.0236826298975394e-06
-0.07839679358717436,0.008520847312559782,0.00025645507739115723,1.6445739696861325e-05,1.040515831230936e-06
-0.07807615230460922,0.008648539101019424,0.0002606252249578228,1.6716449585063084e-05,1.0576963888356142e-06
-0.07775551102204409,0.008778581692668727,0.0002648801953109036,1.6992747907650223e-05,1.0752329378250178e-06
-0.07743486973947895,0.00891102604644426,0.00026922206021594107,1.7274773559016733e-05,1.093134364742654e-06
-0.07711422845691383,0.009045924382978377,0.0002736529505089879,1.7562669474241837e-05,1.1114098159619846e-06
-0.0767935871743487,0.009183330219437515,0.0002781750580224149,1.7856582763876696e-05,1.1300687064032914e-06
-0.07647294589178356,0.009323298405411672,0.0002827906375813721,1.815666485380618e-05,1.149120728580831e-06
-0.07615230460921844,0.00946588515988886,0.0002875020090737983,1.8463071630398433e-05,1.1685758619942682e-06
-0.07583166332665331,0.009611148109349916,0.0002923115595969845,1.877596359116525e-05,1.1884443828789737e-06
-0.07551102204408817,0.009759146327019495,0.0002972217456838339,1.9095506001166283e-05,1.2087368743305177e-06
-0.07519038076152304,0.00990994037331154,0.00030223509561211424,1.9421869055401396e-05,1.2294642368193366e-06
-0.07486973947895792,0.010063592337507268,0.0003073542118001383,1.9755228047446866e-05,1.2506376991124066e-06
-0.07454909819639279,0.010220165880706409,0.0003125817732924639,2.009576354460275e-05,1.272268829619443e-06
-0.07422845691382765,0.01037972628009284,0.00031792053833937716,2.0443661569831866e-05,1.2943695481820616e-06
-0.07390781563126253,0.010542340474557854,0.00032337334707408763,2.0799113790783984e-05,1.316952138325209e-06
-0.0735871743486974,0.010708077111725004,0.00032894312429175413,2.116231771621301e-05,1.3400292599910597e-06
-0.07326653306613226,0.010877006596422914,0.0003346328823346347,2.1533476900109076e-05,1.3636139627765956e-06
-0.07294589178356714,0.011049201140653055,0.00034044572408787536,2.1912801153883753e-05,1.3877196996970785e-06
-0.072625250501002,0.011224734815101911,0.0003463848460906488,2.2300506766962788e-05,1.4123603414987597e-06
-0.07230460921843687,0.011403683602247965,0.0003524535417675698,2.2696816736156954e-05,1.4375501915452466e-06
-0.07198396793587175,0.011586125451116069,0.00035865520478556843,2.3101961004201466e-05,1.4633040013031913e-06
-0.07166332665330662,0.011772140333733626,0.00036499333254162166,2.3516176707871913e-05,1.4896369864542494e-06
-0.07134268537074148,0.011961810303344266,0.0003714715297870137,2.39397084361056e-05,1.5165648436615233e-06
-0.07102204408817635,0.012155219554437272,0.00037809351239406845,2.4372808498578053e-05,1.5441037680202077e-06
-0.07070140280561123,0.012352454484652687,0.0003848631112715685,2.4815737205207133e-05,1.5722704712235444e-06
-0.07038076152304609,0.012553603758624044,0.00039178427643538815,2.526876315708024e-05,1.601082200476858e-06
-0.07006012024048096,0.012758758373822645,0.00039886108124117034,2.573216354932476e-05,1.6305567581939906e-06
-0.06973947895791584,0.01296801172846992,0.0004060977267862169,2.6206224486469615e-05,1.6607125225123075e-06
-0.0694188376753507,0.013181459691586227,0.00041349854648811164,2.6691241310871214e-05,1.6915684686642055e-06
-0.06909819639278557,0.013399200675246699,0.0004210680108479438,2.7187518944807376e-05,1.7231441912450356e-06
-0.06877755511022043,0.013621335709117804,0.0004288107324064184,2.769537224687429e-05,1.7554599274194174e-06
