asymmetry,q_rad,q_loaded,normalized_useful_proxy,relative_linewidth
0.02,2500.0,167.910447761194,0.25061270541050723,0.02330434782608696
0.02160535117056856,2142.2854623354965,166.04822683279613,0.2860084062366264,0.023565704692535782
0.023210702341137125,1856.1943044124605,164.08796256340136,0.3223425693609678,0.023847230577617312
0.024816053511705686,1623.8075864023074,162.0379954911811,0.35932448517900295,0.024148925481331546
0.026421404682274247,1432.4787694279764,159.90671219101145,0.3966731891167508,0.024470789403678497
0.02802675585284281,1273.0760248574568,157.70247430572095,0.4341205347234175,0.024812822344658144
0.02963210702341137,1138.8720452078737,155.43355315041705,0.4714137774295972,0.025175024304270502
0.031237458193979932,1024.8224348775043,153.1080704823577,0.508317658090782,0.02555739528251557
0.032842809364548496,927.0846727863249,150.73394583410203,0.5446159910543855,0.02595993527939334
0.03444816053511705,842.690168724668,148.3188506247166,0.5801127749386029,0.026382644294903813
0.03605351170568562,769.3161595891519,145.87016909727717,0.6146328553391035,0.026825522329047
0.03765886287625418,705.1241604068535,143.3949659840862,0.6480221771900706,0.02728856938182289
0.039264214046822746,648.643667886548,140.89996067593677,0.6801476705421035,0.02777178545323149
0.0408695652173913,598.6871887732005,138.39150756923934,0.7108968172338549,0.028275170543272794
0.04247491638795986,554.2873085746173,135.87558218472523,0.7401769475615955,0.0287987246519468
0.044080267558528424,514.6495011294531,133.3577725927683,0.7679143158791691,0.02934244777925352
0.04568561872909699,479.11633500468395,130.84327564151516,0.7940530024058579,0.02990633992519294
0.04729096989966555,447.14003629095987,128.33689746293265,0.8185536857032362,0.030490401089765067
0.04889632107023412,418.26125035322553,125.84305772625189,0.8413923266141984,0.03109463127296991
0.050501672240802674,392.0924520854349,123.36579711567063,0.8625588002233192,0.03171903047480745
0.05210702341137123,368.3048772248415,120.9087875271373,0.8820555078495131,0.032363598695277704
0.053712374581939795,346.6181458385352,118.47534450524981,0.8998959964332784,0.033028335934380655
0.05531772575250836,326.7919623235746,116.06844147359746,0.9161036081054262,0.03371324219211632
0.05692307692307692,308.6194302410519,113.69072534832267,0.930710178356923,0.0344183174684847
0.05852842809364549,291.92163265306124,111.34453316358302,0.9437547971686977,0.03514356176348577
0.06013377926421404,276.5432114040939,109.03190937752828,0.9552826437721339,0.03588897507711955
0.0617391304347826,262.3487403292998,106.7546235671875,0.9653439024336505,0.03665455740938604
0.06334448160535117,249.2197335218536,104.51418825935606,0.9739927638055856,0.03744030876028524
0.06494983277591973,237.0521646810014,102.31187668146404,0.9812865139575387,0.03824622912981715
0.0665551839464883,225.75440014141057,100.14874025097893,0.9872847111805363,0.03907231851798176
0.06816053511705686,215.2454685798099,98.02562565380143,0.9920484490142112,0.039918576924779084
0.06976588628762541,205.4536061530599,95.9431913911469,0.9956397026512851,0.04078500435020909
0.07137123745819397,196.31502807668764,93.90192370048709,0.9981207548871702,0.041671600794271825
0.07297658862876254,187.7728872425923,91.90215177926333,0.9995536970670207,0.042578366256967266
0.0745819397993311,179.77638802308513,89.94406226035866,1.0,0.04350530073829541
0.07618729096989967,172.2800293836298,88.0277129058693,0.9995201495243918,0.04445240423825626
0.07779264214046823,165.24295618190274,86.15304550071984,0.9981733412833964,0.04541967675684982
0.07939799331103678,158.62840133459292,84.31989794032037,0.9960172292790278,0.04640711829407609
0.08100334448160534,152.40320459100144,82.52801551698064,0.9931077228827265,0.047414728849935056
0.08260869565217391,146.5373961218837,80.7770614183916,0.9894988271718644,0.048442508424426725
0.08421404682274247,141.00383513523917,79.06662645837282,0.9852425217102913,0.049490457017551115
0.08581939799331104,135.77789536288742,77.39623806547198,0.9803886731807424,0.05055857462930821
0.0874247491638796,130.83719059692118,75.76536855908348,0.9749849775924955,0.051646861259698
0.08903010033444816,126.16133455184438,74.17344274571194,0.9690769281170636,0.05275531690872051
0.09063545150501671,121.73173023243149,72.61984487000598,0.9627078049382263,0.053883941576375716
0.09224080267558528,117.53138473560468,71.10392495638196,0.9559186838327011,0.05503273526266363
0.09384615384615384,113.54474603601182,69.62500457758084,0.9487484605184534,0.05620169796758426
0.09545150501672241,109.75755882276391,68.18238208647348,0.9412338881147052,0.05739082969113758
0.09705685618729097,106.15673688765227,66.77533734695706,0.9334096253481162,0.05860013043332363
0.09866220735785954,102.73024992818155,65.40313599895953,0.925308293411406,0.059829600194142386
0.10026755852842809,99.4670229341242,64.06503329146885,0.9169605396327251,0.061079238973593825
0.10187290969899665,96.35684658394011,62.76027751619722,0.9083951063458764,0.06234904677167797
0.10347826086956521,93.39029729538875,61.488113073036665,0.8996389035631875,0.06363902358839485
0.10508361204013378,90.55866575960448,60.247783196906,0.8907170842447908,0.06494916942374442
0.10668896321070234,87.85389294523442,59.03853237397402,0.8816531211311408,0.0662794842777267
0.1082943143812709,85.26851269342097,57.85960847360093,0.872468884260705,0.06762996815034167
0.10989966555183946,82.79560013913951,56.710264620695604,0.8631847184330105,0.06900062104158936
0.11150501672240802,80.4287252927339,55.58976083156378,0.8538195199998174,0.07039144295146976
0.11311036789297658,78.16191119996951,54.49736543473565,0.8443908124753192,0.07180243387998286
0.11471571906354515,75.98959617166317,53.432356296726226,0.8349148205511778,0.07323359382712868
0.11632107023411371,73.90659963672088,52.394021871205446,0.8254065421850676,0.0746849227929072
0.11792642140468228,71.9080912266997,51.38166208864541,0.8158798185033883,0.07615642077731843
0.11953177257525083,69.98956274705492,50.39458910217363,0.8063474013210027,0.07764808778036235
0.12113712374581939,68.14680273108597,49.432127904095815,0.7968210181342963,0.079159923802039
0.12274247491638796,66.37587330813949,48.493616826361524,0.7873114344894767,0.08069192884234833
0.12434782608695652,64.67308914861363,47.57840793712975,0.7778285136667572,0.08224410290129039
0.12595317725752508,63.03499827537045,46.685867344549166,0.768381273653656,0.08381644597886515
0.12755852842809362,61.45836455484159,45.81537541789693,0.7589779414078894,0.08540895807507258
0.12916387959866218,59.940151701865595,44.96632693531767,0.7496260044328514,0.08702163918991276
0.13076923076923075,58.477508650519056,44.13813116656995,0.7403322597071158,0.08865448932338563
0.1323745819397993,57.06775615922723,43.330211898414184,0.7311028600242448,0.09030750847549122
0.13397993311036788,55.70837453255964,42.54200740956526,0.7219433578110102,0.09198069664622952
0.13558528428093644,54.396992354569996,41.77297040147664,0.7128587465012426,0.09367405383560051
0.137190635451505,53.1313761395483,41.022567890621744,0.7038534995494398,0.09538758004360422
0.13879598662207357,51.909420815793304,40.290281067385074,0.6949316071731814,0.09712127527024061
0.14040133779264213,50.72914096664829,39.57560512617089,0.6860966109167316,0.09887513951550976
0.1420066889632107,49.58866276070643,38.878049070874305,0.6773516361301405,0.10064917277941159
0.14361204013377926,48.48621650990356,38.19713549943767,0.6686994224589395,0.10244337506194612
0.1452173913043478,47.420129800279696,37.53240037083053,0.6601423524393669,0.10425774636311332
0.14682274247491636,46.38882114559391,36.883392757440554,0.6516824782931078,0.10609228668291326
0.14842809364548493,45.3907941187999,36.249674585544625,0.6433215470139546,0.10794699602134591
0.1500334448160535,44.42463192069886,35.63082036623929,0.6350610238367048,0.10982187437841129
0.15163879598662205,43.488992348941665,35.026416918947504,0.6269021141761222,0.11171692175410934
0.15324414715719062,42.58260313400644,34.43606308938037,0.6188457841210058,0.11363213814844011
0.15484949832775918,41.70425761187486,33.85936946361737,0.6108927795653892,0.1155675235614036
0.15645484949832775,40.852810705912226,33.29595807977348,0.6030436440557132,0.11752307799299978
0.1580602006688963,40.02717519295659,32.74546213854599,0.5952987354295503,0.11949880144322869
0.15966555183946488,39.22631823087247,32.20752571377499,0.5876582413181122,0.12149469391209028
0.1612709030100334,38.44925812685224,31.681803464008542,0.5801221935814366,0.12351075539958456
0.16287625418060198,37.69506132757655,31.167960345934937,0.5726904817418054,0.12554698590571153
0.16448160535117054,36.96283961399652,30.665671330428886,0.5653628654776645,0.12760338543047126
0.1660869565217391,36.2517474849922,30.174621121854525,0.5581389862370835,0.12967995397386367
0.16769230769230767,35.560979715512175,29.69450388117514,0.5510183780266457,0.13177669153588883
