gamma_external_over_gamma_internal,normalized_useful_shg_proxy,optimum_gamma_external_over_gamma_internal
0.01,2.7532065932702897e-05,1.4871154628089538
0.010186289902446875,2.9072770222057438e-05,1.4871154628089538
0.010376050197669117,3.06991708705597e-05,1.4871154628089538
0.010569345535579883,3.241599502478837e-05,1.4871154628089538
0.010766241770454934,3.4228227618640135e-05,1.4871154628089538
0.010966805983368685,3.614112520815689e-05,1.4871154628089538
0.011171106505048241,3.816023053209554e-05,1.4871154628089538
0.01137921293915315,4.029138783505572e-05,1.4871154628089538
0.011591196185988858,4.254075899175656e-05,1.4871154628089538
0.011807128466661904,4.491484047290327e-05,1.4871154628089538
0.01202708334768512,4.7420481195020065e-05,1.4871154628089538
0.01225113576604119,5.006490129864157e-05,1.4871154628089538
0.012479362054713113,5.285571190135946e-05,1.4871154628089538
0.012711839968690289,5.580093587441827e-05,1.4871154628089538
0.012948648711459043,5.890902969383987e-05,1.4871154628089538
0.013189868961986699,6.218890641944419e-05,1.4871154628089538
0.013435582902208256,6.564995985761714e-05,1.4871154628089538
0.013685874245025185,6.930208996626691e-05,1.4871154628089538
0.013940828262825779,7.315572956310305e-05,1.4871154628089538
0.014200531816536825,7.722187240118029e-05,1.4871154628089538
0.014465073385216465,8.151210267856567e-05,1.4871154628089538
0.01473454309619835,8.603862605202299e-05,1.4871154628089538
0.015009032755797357,9.081430222776454e-05,1.4871154628089538
0.015288635880587303,9.585267920559954e-05,1.4871154628089538
0.015573447729261343,0.00010116802925621016,1.4871154628089538
0.015863565335085903,0.0001067753867148285,1.4871154628089538
0.016159087538959182,0.00011269058767824939,1.4871154628089538
0.016460115023085507,0.00011893031169592537,1.4871154628089538
0.016766750345277002,0.00012551212554983072,1.4871154628089538
0.017079097973894276,0.00013245452922187433,1.4871154628089538
0.017397264323438015,0.00013977700415186735,1.4871154628089538
0.017721357790803593,0.0001475000638934412,1.4871154628089538
0.018051488792211093,0.00015564530727983674,1.4871154628089538
0.018387769800823277,0.00016423547421617521,1.4871154628089538
0.018730315385064374,0.0001732945042196583,1.4871154628089538
0.019079242247652662,0.00018284759783414778,1.4871154628089538
0.0194346692653602,0.00019292128105072277,1.4871154628089538
0.019796717529513327,0.00020354347287113896,1.4871154628089538
0.020165510387247464,0.0002147435561565771,1.4871154628089538
0.020541173483530642,0.00022655245190972176,1.4871154628089538
0.020923834803969768,0.000239002697143992,1.4871154628089538
0.021313624718414376,0.0002521285264997203,1.4871154628089538
0.02171067602537265,0.0002659659577731807,1.4871154628089538
0.022115123997254887,0.0002805528815306493,1.4871154628089538
0.022527106426459803,0.00029592915498611076,1.4871154628089538
0.022946763672319362,0.0003121367003278017,1.4871154628089538
0.02337423870891815,0.0003292196076855133,1.4871154628089538
0.023809677173803584,0.0003472242429374534,1.4871154628089538
0.02425322741760353,0.0003661993605624659,1.4871154628089538
0.024705040554568253,0.00038619622175055704,1.4871154628089538
0.025165270514053917,0.00040726871799193535,1.4871154628089538
0.02563407409296515,0.0004294735003721384,1.4871154628089538
0.026111611009174595,0.000452870114808316,1.4871154628089538
0.026598043955937584,0.00047752114346927906,1.4871154628089538
0.027093538657320514,0.0005034923526295995,1.4871154628089538
0.027598263924661803,0.0005308528472157195,1.4871154628089538
0.028112391714084643,0.0005596752323098052,1.4871154628089538
0.028636097185081158,0.0005900357818848391,1.4871154628089538
0.02916955876018796,0.0006220146150522454,1.4871154628089538
0.029712958185773342,0.0006556958801110761,1.4871154628089538
0.03026648059395692,0.0006911679466955525,1.4871154628089538
0.03083031456568277,0.0007285236063253656,1.4871154628089538
0.03140465219496752,0.0007678602816707148,1.4871154628089538
0.03198968915434538,0.0008092802448514882,1.4871154628089538
