tri_side_nm,wavelength_nm,reflectance_R,transmittance_T,R_plus_T,mos2_F2_volume_proxy,mos2_F4_volume_proxy,mos2_max_E_enhancement,mos2_F4_norm_to_min,mos2_F4_norm_to_median,mos2_log10_F4_norm_to_min
340.0,810.0,0.7598342272140165,0.24016577278666965,1.0000000000006861,7928909763317931.0,9.867094045527778e+31,213857742.30558655,12.184497824159704,0.8071948783911693,1.0858076347361239
340.0,812.0,0.8412371308686952,0.1587628691316301,1.0000000000003253,9890501009874252.0,1.8451305277985647e+32,249108415.2612817,22.78481262823489,1.5094412854788306,1.3576454614961175
340.0,814.0,0.7973262906541517,0.20267370934556733,0.9999999999997191,7227073085747470.0,9.205642575733468e+31,199384085.8611031,11.367696650753546,0.7530836845321957,1.0556724758393992
340.0,816.0,0.7375108456383407,0.2624891543615743,0.999999999999915,8316971759520158.0,1.2258070028665743e+32,273937999.4743572,15.13702280565281,1.0027928486790894,1.1800404652418826
340.0,818.0,0.5968353510264633,0.40316464897708,1.0000000000035434,1.3772128737497348e+16,4.207182882654854e+32,470965710.3223975,51.95289559724477,3.4417595085892843,1.7156097579925222
340.0,820.0,0.6905010235222592,0.309498976477735,0.9999999999999942,4566276173770603.0,3.7142171766731707e+31,177469995.38556215,4.5865450251933995,0.3038480294613152,0.6614856612464414
340.0,822.0,0.8008701027644245,0.19912989723642383,1.0000000000008482,8969961341045281.0,1.3778722476141188e+32,186314958.81423146,17.014818471942785,1.1271924806022815,1.2308273200463387
340.0,824.0,0.6303195684571627,0.369680431542937,1.0000000000000997,3921360146333524.0,2.6757738902730583e+31,185404409.286216,3.30421104669136,0.2188963609747067,0.5190677788076299
340.0,826.0,0.7541121655303211,0.2458878344692337,0.9999999999995548,6806873596618963.0,7.5734197648326775e+31,178999886.04184163,9.352127001148494,0.6195568439778059,0.9709103958787065
340.0,828.0,0.7076856670969153,0.2923143329030728,0.999999999999988,7248433788798983.0,7.2499320419611885e+31,172835372.26452437,8.952664359231493,0.5930933652758229,0.9519523028369211
340.0,830.0,0.6490381119784526,0.35096188802154354,0.9999999999999962,1.825502851194254e+16,4.454145105443595e+32,250562422.5662013,55.00253782456592,3.6437912724210317,1.7403827283629283
340.0,832.0,0.6402915244442047,0.35970847555571756,0.9999999999999223,4205073528702646.0,2.9875303187033265e+31,157943882.9445018,3.689187160869384,0.24440014062586893,0.5669306885341856
340.0,834.0,0.6382419156720014,0.36175808432810563,1.000000000000107,3475564515526291.5,2.114571248927892e+31,151284228.9430273,2.611203325184728,0.17298619778550153,0.41684069011775426
340.0,836.0,0.8186214015500467,0.1813785984452933,0.99999999999534,4.437321161179352e+16,2.713069416109556e+33,908485101.9573045,335.0265868030745,22.194738666709593,2.52507927283895
340.0,838.0,0.5533398696075068,0.44666013039254154,1.0000000000000484,7926800597605875.0,9.276478225935407e+31,241051409.13185334,11.455168891493935,0.7588785187343111,1.0590014966771526
340.0,840.0,0.5515419279271421,0.4484580720728766,1.0000000000000187,8729602985764482.0,1.1702908218860223e+32,241649815.6685591,14.451474676444713,0.9573768662747768,1.1599121662043252
340.0,842.0,0.5274007707405913,0.47259922925745906,0.9999999999980504,2.549829023794334e+16,9.637608261067795e+32,401841756.9482796,119.0111458806948,7.884213925983956,2.0755876367522275
340.0,844.0,0.59542422895436,0.40457577104308273,0.9999999999974427,2.5590134187675664e+16,9.042716371311831e+32,490922338.05711406,111.66505299570083,7.3975522154623015,2.0479172763757525
340.0,846.0,0.5086440619838941,0.4913559380142597,0.9999999999981538,8287991279549984.0,8.507711760020315e+31,222720741.86141565,10.50584852543591,0.6959882340058705,1.0214311348031286
340.0,848.0,0.7029762770702047,0.2970237229185066,0.9999999999887113,1.06279920663507e+17,1.48673260216585e+34,891546064.5090494,1835.9093439884348,121.6247596777881,3.2638512322151008
340.0,850.0,0.5929970894513271,0.4070029105482147,0.9999999999995418,3433612348884302.0,1.8969937550992927e+31,126682947.96629632,2.3425251826730253,0.15518689052631573,0.36968426834835305
350.0,810.0,0.8665670978082006,0.13343290219178155,0.9999999999999822,1.277844573933569e+16,2.8861107754500654e+32,281339922.50585127,35.63948037942738,2.3610333758486526,1.551931363434633
350.0,812.0,0.8082859223001815,0.19171407769955925,0.9999999999997408,9496274184047774.0,1.6482880430350606e+32,248233253.67637214,20.354079915810622,1.3484108495493092,1.3086514753463367
350.0,814.0,0.7497070749838614,0.25029292501612815,0.9999999999999896,9376394179866536.0,1.4999948407503e+32,240328394.83883336,18.522863762159687,1.227097002906955,1.2677081324514743
350.0,816.0,0.7443478170803581,0.2556521829196314,0.9999999999999896,6935262640846782.0,8.716963848904e+31,213485702.9925494,10.764245943149763,0.7131064669587753,1.0319836120323123
350.0,818.0,0.7242341024475468,0.27576589755245207,0.9999999999999989,8926227703188789.0,1.4445885916300415e+32,248432079.269181,17.83867313953496,1.1817709521828224,1.2513625479319943
350.0,820.0,0.6825317186945653,0.3174682813055012,1.0000000000000666,5103750548375783.0,4.794923718322135e+31,184823102.36281106,5.921068284475118,0.3922571174296479,0.7724000695940323
350.0,822.0,0.6637184443393244,0.33628155566057133,0.9999999999998956,4567402474990654.0,3.931919764712796e+31,171074112.3643582,4.855377641771634,0.321657570271128,0.6862230141326521
350.0,824.0,0.6372418531553798,0.3627581468446205,1.0000000000000004,4665122279726463.0,3.891189278622202e+31,173724272.2946724,4.805081119121914,0.3183255416500355,0.6817007238026184
350.0,826.0,0.6184815075310954,0.3815184924689921,1.0000000000000875,4082941050855485.0,3.2353591517882934e+31,184198029.44840696,3.9952215275790506,0.26467421157936466,0.6015408651363279
350.0,828.0,0.5954213990727745,0.4045786009271827,0.9999999999999571,3861855701717466.5,2.931730143900237e+31,188939336.6827799,3.620281654816755,0.23983530977429712,0.5587423595868549
350.0,830.0,0.5679208040993857,0.43207919590059013,0.9999999999999758,3745275818515145.5,2.8399684116670996e+31,202130680.29212615,3.5069685940942263,0.23232858084791558,0.5449318766677447
350.0,832.0,0.4987731963744103,0.501226803624734,0.9999999999991444,1.6436914408466302e+16,5.4197294159531456e+32,682151418.3643099,66.92616992552769,4.433704398313902,1.8255959717567656
350.0,834.0,0.45520803177033237,0.5447919682291154,0.9999999999994478,7167390133654056.0,9.517996692154633e+31,281041025.8737581,11.753410827018644,0.7786363590943521,1.0701639166839951
350.0,836.0,0.5763221475859829,0.42367785241423345,1.0000000000002163,1.240814052738017e+16,2.385560904996696e+32,327548592.68286127,29.458381081821287,1.9515498035374583,1.4692088760249153
350.0,838.0,0.3567839158765014,0.6432160841232855,0.9999999999997868,4.513300492390918e+16,2.797220403412476e+33,513868766.8878071,345.41807103300397,22.883150529909223,2.53834505455344
350.0,840.0,0.8407278722525157,0.1592721277482846,1.0000000000008002,2.8067816874885188e+16,1.1834752547552527e+33,351932008.8333481,146.14284205640118,9.681626220782887,2.164777548865299
350.0,842.0,0.6705807768762416,0.3294192231234504,0.999999999999692,7650496885020700.0,9.22109252624591e+31,214745219.30037645,11.386775204939166,0.7543475947440065,1.0564007469941579
350.0,844.0,0.5979349033963366,0.4020650966032832,0.9999999999996199,6587199342549333.0,5.990717096722776e+31,242316973.34042144,7.397707885763914,0.4900810852772597,0.8690971782762766
350.0,846.0,0.590514894487356,0.4094851055128079,1.0000000000001639,4817558144781691.0,3.053908414551846e+31,186937128.2656819,3.771154937877117,0.2498303168012514,0.5764743757582518
350.0,848.0,0.9001584596770956,0.0998415403185923,0.9999999999956879,4.9077274779538584e+16,3.28628395864517e+33,634739943.1115175,405.8106627840622,26.884020443280882,2.608323454051299
350.0,850.0,0.35636148632457726,0.6436385136760978,1.000000000000675,1.1941554724588682e+16,1.9108203426072405e+32,312515628.98158824,23.59599107845807,1.5631799868952427,1.3728382232922802
360.0,810.0,0.8022186728884093,0.1977813271112026,0.9999999999996119,9511898335115098.0,1.530222561118179e+32,243512626.35508958,18.896134343500368,1.2518253180054124,1.2763729679299756
360.0,812.0,0.7792528112145888,0.22074718878436034,0.9999999999989491,8550122304305402.0,1.1340152473018664e+32,218114119.72634682,14.003521451765431,0.9277009983040045,1.1462372610183946
360.0,814.0,0.6634253876182925,0.33657461238122693,0.9999999999995195,1.0270719914926756e+16,1.6694507894061404e+32,263416579.85343283,20.615410593233868,1.365723404192659,1.3141919889845757
360.0,816.0,0.6571546885120775,0.3428453114872881,0.9999999999993656,5851648272126990.0,6.535684602607256e+31,218713671.98011538,8.070667458161708,0.5346631048272753,0.9069094531123659
360.0,818.0,0.6305248682805371,0.36947513171968693,1.000000000000224,5260142569243655.0,5.295245968838127e+31,219163112.4437456,6.5388971350629825,0.43318685381385713,0.8155045054273135
360.0,820.0,0.734259028460901,0.2657409715405337,1.0000000000014346,3.0014934518640776e+16,1.4277201462085788e+33,376967240.8588217,176.3037114546617,11.679714255057688,2.246261454938648
360.0,822.0,0.6076208540133388,0.3923791459866099,0.9999999999999487,4975965763890823.0,4.361628557811338e+31,216973958.36544442,5.3860086290078995,0.35681064932240214,0.7312670448659694
360.0,824.0,0.5663257321235787,0.4336742678765218,1.0000000000001006,4985083114747641.0,4.5141769106370305e+31,238582727.339889,5.5743847673630675,0.3692901340156406,0.7461969422343742
360.0,826.0,0.5157558879485119,0.4842441120437982,0.9999999999923102,6031025941152691.0,6.6920466762708735e+31,293777445.4185317,8.263753014815439,0.5474545776209395,0.9171773286101004
360.0,828.0,0.33651845026915184,0.6634815497958259,1.0000000000649778,5.640619106061549e+16,5.77240744622484e+33,870345363.2892505,712.8125630926604,47.2221882661757,2.852975345397136
360.0,830.0,0.5163720742621519,0.48362792573784763,0.9999999999999996,1.4371039341424444e+16,2.8108400472036373e+32,300846842.71235484,34.70999088605703,2.2994568406976286,1.540454499636965
