wavelength_nm,reflectance_R,transmittance_T,R_plus_T,mos2_F2_volume_proxy,mos2_F4_volume_proxy,mos2_max_E_enhancement
780.0,0.2747359548041259,0.7252640451960416,1.0000000000001674,1.788419771636729e+16,4.819114680040152e+32,318389894.6507103
800.0,0.9414864547819107,0.05851354521820021,1.000000000000111,1.3122912203947114e+16,3.0006594029242346e+32,228312854.35419545
820.0,0.862348400417082,0.13765159958036352,0.9999999999974456,3.961237104433948e+16,2.489171384605912e+33,466325082.6996164
840.0,0.9949830976745975,0.0050169023212054365,0.9999999999958029,7.425767887612624e+16,8.820009344647353e+33,642470798.6540867
860.0,0.7845445782362905,0.2154554217648944,1.0000000000011848,1.2153915109177548e+16,2.2744800005783364e+32,399891550.20060885
880.0,0.9675573490069602,0.03244265099570845,1.0000000000026688,2.682119314815825e+16,1.6690008774972553e+33,906515629.7342191
900.0,0.4336753679828388,0.5663246320170539,0.9999999999998926,2219308669992720.0,8.296965320806504e+30,186183792.23851773
