wavelength_nm,reflectance_R,transmittance_T,R_plus_T,mos2_F2_volume_proxy,mos2_F4_volume_proxy,mos2_max_E_enhancement,mos2_F4_norm_to_min,mos2_F4_norm_to_median,mos2_log10_F4_norm_to_min
810.0,0.7746990637997959,0.2253009362018041,1.0000000000016,2.0593199333486324e+16,6.9600558544765e+32,585672624.9686124,55.65600742780467,2.9421519958828615,1.7455120483101791
811.0,0.7074058302871692,0.29259416971327207,1.0000000000004412,3026517964325225.0,1.250548894206053e+31,173614918.08696178,1.0,0.05286315227874249,0.0
812.0,0.7081563340538276,0.29184366594647393,1.0000000000003015,6563618900544035.0,6.501466423319315e+31,311726616.63397145,5.198890226077053,0.2748297257015772,0.7159106474562171
813.0,0.7115644268062601,0.2884355731834555,0.9999999999897156,1.1196262672006478e+17,2.031541944604354e+34,1249716388.453296,1624.5202039014532,85.87725891873633,3.210725116966536
814.0,0.7253007043044478,0.2746992956957651,1.000000000000213,3.797701309501274e+16,2.3537826037402142e+33,582314203.8664136,188.21995802367897,9.94990030290426,2.2746656722261838
815.0,0.7136876501660262,0.28631234983421927,1.0000000000002456,1.0530854249900878e+16,1.8649941278763917e+32,232443811.94825613,14.91340431803298,0.7883695634586332,1.1735767921971836
816.0,0.7104325270365509,0.28956747296340296,0.9999999999999538,6739515037227148.0,7.859253739227409e+31,193447555.26357335,6.284643307942855,0.3322260562053631,0.7982806338456675
817.0,0.7083972928407896,0.29160270715903885,0.9999999999998284,5761038456196790.0,5.7822740295483825e+31,198601629.5188193,4.62378884691224,0.2444280539190729,0.6649979930779795
818.0,0.7035995025567631,0.29640049744282865,0.9999999999995917,6593118678987351.0,7.202539657109587e+31,229128336.79487422,5.759502639584778,0.30446546508618944,0.7603849816506546
819.0,0.6596433080816358,0.3403566919188787,1.0000000000005145,2.3845037096969668e+16,8.295621231445486e+32,401050581.9889206,66.3358407646444,3.5067216518798108,1.82174823791619
820.0,0.8623484004193072,0.13765159958132875,1.000000000000636,3.961237104424005e+16,2.4891713845944658e+33,466325082.69894546,199.0463064760685,10.522215209765656,2.2989541231813835
821.0,0.8392457093882018,0.16075429061099805,0.9999999999991998,8881183497702263.0,1.2160137140890127e+32,199232533.98959213,9.723839825239573,0.5140328254157402,0.9878377963675625
822.0,0.8951896515325738,0.10481034846750092,1.0000000000000746,7931214475677543.0,9.666531065975916e+31,173854143.1652084,7.729830565411833,0.40862321026824383,0.8881699744728981
823.0,0.9865579481471142,0.013442051852938636,1.0000000000000528,1.1843194580858498e+16,2.2092685724840227e+32,229696536.47673786,17.66639099614446,0.9339011174449899,1.2471478381007097
824.0,0.8750977591998854,0.12490224080003177,0.9999999999999172,2.166206865345659e+16,7.571999627777786e+32,351947387.21567595,60.54940884646568,3.200832620238553,1.7821099074134858
825.0,0.46427936212064547,0.5357206378776048,0.9999999999982503,2.1022330421757524e+16,7.128048531639258e+32,386053927.4939696,56.99935895880909,3.0131657924302298,1.7558699714230634
826.0,0.35915490995248617,0.6408450900424778,0.999999999994964,2.098202858833082e+16,6.719965385391947e+32,426986542.44398725,53.736126724243846,2.840661049893506,1.7302663594750738
827.0,0.585156957992751,0.41484304200004185,0.9999999999927929,2.098804930987182e+16,6.1034008501999676e+32,295518674.9161312,48.805775435712874,2.580027138940199,1.688471217319277
828.0,0.43142143230537816,0.5685785676935027,0.9999999999988809,1.0927202518328386e+16,1.7874532542987845e+32,188956441.9495792,14.293349604963673,0.7555915167404984,1.1551340163686366
829.0,0.465840187053284,0.5341598129474159,1.0000000000006999,1.2890061595456448e+16,2.3656343602288884e+32,204568659.37202734,18.916768238244533,1.0,1.2768469430498517
830.0,0.945063543377448,0.05493645661720345,0.9999999999946515,8826222903981420.0,1.2834667035177927e+32,229842685.36487776,10.263226887523167,0.5425465258264215,1.0112839298898324
831.0,0.9901466933057015,0.009853306745770165,1.0000000000514717,1.7593164201351504e+17,4.314409741381146e+34,889393635.6961917,3450.0128394582075,182.378554095896,3.5378207113328317
832.0,0.4786769033912296,0.5213230966101933,1.0000000000014229,1.7720620240572014e+16,4.177576212883692e+32,334287489.8996295,33.40594064125695,1.7659433271333986,1.5238237050840562
833.0,0.47754866368442456,0.5224513363158976,1.0000000000003222,5285003329547107.0,4.0350693904802806e+31,156896146.71350703,3.226638645778069,0.17057029008024152,0.508750331089722
834.0,0.45971925683832854,0.5402807431616027,0.9999999999999312,4241778599973344.5,2.6205511940729697e+31,143194521.3398118,2.095520779886581,0.11077583409041356,0.32129197180089686
835.0,0.43928564677180976,0.5607143532286115,1.0000000000004212,4665270849084801.0,3.2046368791967615e+31,155595981.64455536,2.5625842332468878,0.1354662805492348,0.4086781497450111
836.0,0.41505323242985037,0.5849467675698801,0.9999999999997304,5933865996532724.0,5.2031256843675465e+31,180986055.17576945,4.160673531818123,0.21994631849463478,0.6191636401158767
837.0,0.38419822086944033,0.6158017791301207,0.999999999999561,8622629752883331.0,1.0790927793651238e+32,217580979.64153004,8.628953129019534,0.45615366326549106,0.9359581099830867
838.0,0.34487506805890306,0.6551249319408956,0.9999999999997986,1.5379425099049382e+16,3.308964729651426e+32,287199068.21210116,26.460098801272522,1.398764232242241,1.4225914614980184
839.0,0.35408432759718494,0.6459156724059224,1.0000000000031073,4.238658358513992e+16,2.4775209932014634e+33,480212900.8931777,198.11468425426014,10.472966722387941,2.296916666625109
840.0,0.9949830976750974,0.005016902321533175,0.9999999999966306,7.425767887611782e+16,8.820009344647949e+33,642470798.6540511,705.2910434379766,37.28390783009494,2.8483683687302364
841.0,0.5430024442394099,0.45699755576196455,1.0000000000013745,2.722548585012328e+16,1.1671001679393232e+33,382630293.8944346,93.32703210139499,4.9335611096991325,1.9700074550228195
842.0,0.3102183204292494,0.6897816795715087,1.000000000000758,8.731656664473624e+16,1.0936797087210213e+34,635397952.3216649,874.5597343599871,46.23198441432858,2.9417894780993654
843.0,0.9005216176153965,0.09947838239041944,1.000000000005816,2.321408259890665e+17,7.27016821726813e+34,943794386.4484165,5813.581740747374,307.32425684604533,3.7644437831585917
844.0,0.8816667838028104,0.11833321619692884,0.9999999999997392,6.3524341405586744e+16,5.364908835470853e+33,472026129.5309488,429.00432444721963,22.67852093149242,2.632461669979827
845.0,0.7344948701332714,0.265505129866655,0.9999999999999264,2.5122143391097844e+16,8.551449440350723e+32,291829807.6959206,68.38156812556983,3.6148652488812014,1.8349390558123333
846.0,0.6526247077558991,0.3473752922440575,0.9999999999999566,1.3389309607256494e+16,2.5092032793205225e+32,212630350.8013043,20.06481546580042,1.060689395413475,1.3024351699231778
847.0,0.6046274517553887,0.3953725482458117,1.0000000000012004,8016644442621644.0,9.190712225965017e+31,208153455.55061728,7.349342571527366,0.38850941550729606,0.8662484914205375
848.0,0.6704919733512879,0.3295080266481181,0.999999999999406,5348121681125022.0,4.836819671669612e+31,421035190.8834848,3.867757345657729,0.2044618455407294,0.5874592196127355
849.0,0.9971797801526613,0.002820219848026007,1.0000000000006872,8879509694924646.0,1.6000158231932032e+32,587150975.4105035,12.794508320356554,0.6763580416706463,1.1070236010587728
850.0,0.8064704759868002,0.19352952401402893,1.0000000000008291,7418705169331466.0,9.908475123903355e+31,364598067.99982,7.9233008559765565,0.4188506596997794,0.8989061468529761
