tri_side_nm,best_R_wavelength_nm,best_R,F4_at_best_R,F4_norm_to_min_at_best_R,best_F4_wavelength_nm,best_F4,best_F4_norm_to_min,R_at_best_F4
340.0,812.0,0.8412371308686952,1.8451305277985647e+32,22.78481262823489,848.0,1.48673260216585e+34,1835.9093439884348,0.7029762770702047
350.0,848.0,0.9001584596770956,3.28628395864517e+33,405.8106627840622,848.0,3.28628395864517e+33,405.8106627840622,0.9001584596770956
360.0,846.0,0.9880367199046995,4.33792818039112e+35,53567.419375406884,846.0,4.33792818039112e+35,53567.419375406884,0.9880367199046995
370.0,842.0,0.9864332011697478,2.4577909414706726e+34,3035.032223308156,842.0,2.4577909414706726e+34,3035.032223308156,0.9864332011697478
374.0,840.0,0.9949830976809043,8.820009344892821e+33,1089.1492893049297,842.0,1.093679708732605e+34,1350.5433281463424,0.3102183204285336
380.0,838.0,0.9875375431119067,2.1526237741415235e+35,26581.929361613686,838.0,2.1526237741415235e+35,26581.929361613686,0.9875375431119067
390.0,838.0,0.9990737125843806,1.5446055764492412e+33,190.737447100354,832.0,2.6436017098979374e+35,32644.828491115662,0.5551747178990571
400.0,812.0,0.9990198028341978,7.917208294961988e+33,977.6658335095822,826.0,1.2259375624348707e+34,1513.863503592901,0.6526715934587746
